https://www.bachhoaxanh.com/tay-rua-bon-cau-nha-tam/nuoc-tay-bon-cau-okay-tay-sach-nhu-moi-960ml	U1764830575317.302	0	Nước tẩy bồn cầu OKAY chai 960ml giá tốt tại Bách hoá XANH
https://btbhcn.baominh.vn/	U1764641139380.499	0	
https://btbhcn.baominh.vn/Account/ConfirmRelation	U1764641258597.996	7	Responsive Registration Form | CodingLab
https://btbhcn.baominh.vn/Account/CustomerConfirm	U1764641197566.782	7	Responsive Registration Form | CodingLab
https://btbhcn.baominh.vn/Account/Signin	U1764641139953.795	0	Đăng nhập
https://btbhcn.baominh.vn/Account/Signin	U1764641242284.671	0	Đăng nhập
https://btbhcn.baominh.vn/ClaimDeclare	U1764641281261.707	0	Bồi thường
https://btbhcn.baominh.vn/ClaimDeclare	U1764673653546.604	8	Bồi thường
https://baomoi.com/	U1764691194025.121	1	Báo Mới - Tin tức 24H, đọc báo mới nhanh nhất hôm nay
https://baomoi.com/	U1764766249875.354	1	Báo Mới - Tin tức 24H, đọc báo mới nhanh nhất hôm nay
https://baomoi.com/the-gioi.epi	U1764691214342.216	0	Thế giới - Tin thời sự quốc tế, tin tức quân sự và an ninh thế giới
https://m.cafef.vn/nvidia-tam-chan-cua-cuoc-cach-mang-cong-nghiep-lon-nhat-trong-lich-su-loai-nguoi-18825120112102295.chn	U1764763144966.067	2	Nvidia – Tâm chấn của cuộc cách mạng công nghiệp lớn nhất trong lịch sử loài người
https://chatgpt.com/	U1764605820235.164	1	ChatGPT
https://chatgpt.com/	U1764742481180.439	1	ChatGPT
https://chatgpt.com/	U1765029586489.26	1	ChatGPT
https://chatgpt.com/c/692dc2a2-47e4-8324-aa2d-e0346252bbc3	U1764606628962.119	0	So sánh năng lượng tiêu thụ
https://chatgpt.com/c/693436d8-be00-8320-9e8a-c323622f3fee	U1765029716090.665	0	Hướng dẫn trả lời đồng ý
https://dienmaycholon.com/am-ca-binh-dun/binh-dun-sieu-toc-2-lit-perfect-pfb2?gad_source=1&gad_campaignid=22692561832&gbraid=0AAAAA_FapwsKt_uG6mG6HkkGq9vNcDeVZ&gclid=CjwKCAiAlrXJBhBAEiwA-5pgwvJg7QlO9wuntDLIoVu2TUcRoH7jg4tLEVQGCXrFBYh0GL350xSRHBoCDrAQAvD_BwE	U1764606638114.801	0	Bình đun siêu tốc Perfect PF-B2 2L - Mua ngay T11/2025
https://dienmaycholon.com/may-nuoc-nong	U1764605852082.563	0	Máy nước nóng giá tốt, miễn phí lắp đặt, trả góp 0% T11/2025
https://dienmaycholon.com/may-nuoc-nong/may-nuoc-nong-gian-tiep-rossi-15-lit-eleganzc-rec15sq	U1764605897145.884	0	Máy Nước Nóng Gián Tiếp Rossi 15 Lít Eleganz-C REC15SQ
https://discord.com/app	U1764568023988.976	1	Discord
https://discord.com/app	U1764574435994.05	1	Discord
https://discord.com/app	U1764740949409.6	1	Discord
https://discord.com/channels/595999872222756885/1366700359182979193	U1764741268056.27	0	(370) Discord | face cam 39 | Study Together ❄
https://discord.com/channels/595999872222756885/835480156242968576	U1764572034146.321	0	(370) Discord | screen/cam 13 | Study Together ❄
https://discord.com/channels/595999872222756885/835480156242968576	U1764741079264.911	0	(370) Discord | screen/cam 13 | Study Together ❄
https://discord.com/channels/595999872222756885/835480258022080552	U1764572016580.438	0	(368) Discord | screen/cam 14 | Study Together
https://discord.com/channels/595999872222756885/835480493486374932	U1764571989762.071	0	(370) Discord | screen/cam 24 | Study Together ❄
https://discord.com/channels/595999872222756885/835480493486374932	U1764741126205.2	0	(370) Discord | screen/cam 24 | Study Together ❄
https://discord.com/channels/595999872222756885/835480508279816192	U1764571947299.488	0	(368) Discord | screen/cam 25 | Study Together
https://discord.com/channels/880360143768924210/884802950759866428	U1764740985218.365	0	(370) Discord | #commands🔣 | BetterMe
https://discord.com/channels/880360143768924210/915238716803514389	U1764568058549.069	0	(369) Discord | 📚 FULL CAM 1 | BetterMe
